dataset,method,n_estimators,eta,cost_budget,accuracy,f1,AUC,recourse,validity,cost
FICO,Vanilla,100,0.64,0.2,0.6535656401944895,0.698625308424392,0.7568876557632398,0.9619124797406807,0.8846625766871166,0.09605855410321543
FICO,Vanilla,100,1.28,0.2,0.6280388978930308,0.6935914552736983,0.7455783762734697,0.9870340356564019,0.9512195121951219,0.07295103406660378
FICO,OAF,100,0.01,0.2,0.6973257698541329,0.6904268545379196,0.7639295618632651,0.7718800648298217,0.5456012913640033,0.21064886172508132
FICO,OAF,100,0.02,0.2,0.6948946515397083,0.6897404202719407,0.7642709517344446,0.7799837925445705,0.556734693877551,0.2048292372495585
FICO,OAF,100,0.04,0.2,0.6912479740680713,0.6892332789559543,0.7645222252041761,0.7978119935170178,0.5841666666666666,0.1943140839574789
FICO,OAF,100,0.08,0.2,0.6888168557536467,0.6920609462710505,0.7643630414877495,0.8387358184764991,0.6563039723661486,0.1695926594861544
FICO,OAF,100,0.16,0.2,0.6884116693679092,0.7011270890011659,0.762986299675844,0.893030794165316,0.7553290083410565,0.13827897419304466
FICO,OAF,100,0.32,0.2,0.6823338735818476,0.7076808351976137,0.7592165398459207,0.9481361426256077,0.8680412371134021,0.10730461631351362
FICO,OAF,100,0.64,0.2,0.6600486223662885,0.7015297047314123,0.7531386161278101,0.9785251215559158,0.9369797859690844,0.08550744213944002
FICO,OAF,100,1.28,0.2,0.6381685575364667,0.6947008547008547,0.7448242269722996,0.9947325769854133,0.9821182943603851,0.06865058384984617
FICO,RABIT,100,0.01,0.2,0.7127228525121556,0.700970054829186,0.7776736286520165,0.81645056726094,0.6463700234192038,0.18128578108605706
FICO,RABIT,100,0.02,0.2,0.713128038897893,0.7022708158116064,0.7773144786141282,0.8658833063209076,0.7401883830455259,0.1415161045251973
FICO,RABIT,100,0.04,0.2,0.7090761750405187,0.700583819849875,0.7767612823103477,0.9003241491085899,0.8038277511961722,0.11369226193797613
FICO,RABIT,100,0.08,0.2,0.7106969205834684,0.7049586776859504,0.7763567451797593,0.9258508914100486,0.851461038961039,0.09517422035111714
FICO,RABIT,100,0.16,0.2,0.7090761750405187,0.7054963084495488,0.7758989275490442,0.9412479740680713,0.8805601317957167,0.0827602742832818
FICO,RABIT,100,0.32,0.2,0.706645056726094,0.7061688311688312,0.7750530173865454,0.9521880064829822,0.9006734006734006,0.07314469957116815
FICO,RABIT,100,0.64,0.2,0.700162074554295,0.705648369132856,0.7732487160057254,0.9643435980551054,0.9226713532513181,0.06410942841068198
FICO,RABIT,100,1.28,0.2,0.6944894651539708,0.7091049382716049,0.7695026363980804,0.9785251215559158,0.95,0.05444472709445861
FICO,Vanilla,100,0.01,0.2,0.710291734197731,0.6884531590413944,0.765367806474699,0.6373581847649918,0.3404568901989683,0.3174829776804216
FICO,Vanilla,100,0.02,0.2,0.7090761750405187,0.6886383347788378,0.765084301591311,0.6515397082658023,0.3610698365527489,0.3079569191683103
FICO,Vanilla,100,0.04,0.2,0.7090761750405187,0.6921097770154374,0.7644876915466869,0.6750405186385737,0.3924242424242424,0.29682645011878406
FICO,Vanilla,100,0.08,0.2,0.7111021069692058,0.698009318085557,0.7630149132777638,0.7163695299837926,0.45778466305189774,0.2701660906511769
FICO,Vanilla,100,0.16,0.2,0.700162074554295,0.694467382328654,0.7594641955039152,0.7953808752025932,0.5894308943089431,0.21535839715771254
FICO,Vanilla,100,0.32,0.2,0.6815235008103727,0.6907946498819827,0.7529764723835985,0.8873581847649918,0.7495495495495496,0.1500495928483256
FICO,Vanilla,100,0.64,0.2,0.663290113452188,0.6911928651059086,0.7435642418119053,0.956645056726094,0.8886576482830385,0.10106289785486498
FICO,Vanilla,100,1.28,0.2,0.6308752025931929,0.6820244328097731,0.7321424812663131,0.9870340356564019,0.9593392630241423,0.07385850909720845
FICO,OAF,100,0.01,0.2,0.710291734197731,0.6868155935173018,0.7625034862549465,0.7135332252836305,0.4835646457268079,0.23117395326135062
FICO,OAF,100,0.02,0.2,0.7111021069692058,0.6906724511930585,0.7625271664772248,0.7220421393841167,0.49072011878247956,0.22799319582289465
