dataset,method,n_estimators,gamma,cost_budget,time,accuracy,f1,AUC,recourse,validity,cost,sparsity,plausibility,unfairness
FICO,RABIT,50,0.0015,0.2,7.351032018661499,0.7305510534846029,0.7089715536105032,0.7956278416266734,0.6077795786061588,0.2918800292611558,0.3501832379622151,1.5137614678899083,0.47417322806986706,0.0
FICO,RABIT,50,0.002,0.2,7.086506128311157,0.7228525121555915,0.7013100436681222,0.79788140944683,0.6503241491085899,0.36637298091042586,0.32340660917091785,1.2731591448931117,0.4757958582744303,0.0
FICO,RABIT,50,0.0025,0.2,7.338043212890625,0.7317666126418152,0.7119234116623151,0.7957149980003368,0.6920583468395461,0.43870014771048743,0.3026779498676137,1.2034042553191489,0.47475101361690375,0.0
FICO,RABIT,50,0.003,0.2,7.0844361782073975,0.7264991896272285,0.702249669166299,0.7941445388145155,0.7029983792544571,0.4707581227436823,0.3345695702929431,1.0534296028880867,0.4839971490290836,0.0
FICO,RABIT,50,0.0035,0.2,7.1570141315460205,0.7228525121555915,0.7015706806282722,0.7901024564283909,0.7410858995137763,0.5301470588235294,0.30610418888925656,1.1286764705882353,0.4807028689587668,0.0
FICO,RABIT,50,0.004,0.2,7.114140272140503,0.7256888168557536,0.7000443066016836,0.7939843684221606,0.793354943273906,0.6344086021505376,0.17813016115406538,1.0251076040172167,0.4801351897537719,0.0
FICO,RABIT,50,0.0045,0.2,6.974225282669067,0.7200162074554295,0.6938413823659725,0.7915755635892903,0.7581037277147488,0.5720430107526882,0.24452824793115108,1.0630824372759857,0.4780065436758728,0.0
FICO,RABIT,50,0.005,0.2,7.027602195739746,0.7183954619124797,0.691248334073745,0.7930684042687548,0.8030794165316045,0.6531049250535332,0.1812604596411767,1.0278372591006424,0.4778049808603232,0.0
FICO,Vanilla,50,0.0,0.2,7.39312481880188,0.7329821717990276,0.7175310758679811,0.8015945998568662,0.5376823338735819,0.13495072024260804,0.36995188865252604,2.277448071216617,0.44186080740177774,0.0
FICO,OAF,50,0.0,0.2,7.242857933044434,0.7301458670988655,0.7177966101694915,0.7861317436010776,0.6203403565640194,0.27476780185758515,0.32332233184976256,2.880503144654088,0.44561616817363253,0.0
FICO,RABIT,50,0.0005,0.2,7.362328052520752,0.7374392220421394,0.7240204429301533,0.8054505293845247,0.5352512155591572,0.12039877300613497,0.39072197202519854,2.121739130434783,0.4420703272108948,0.0
