dataset,method,n_estimators,gamma,cost_budget,time,accuracy,f1,AUC,recourse,validity,cost,sparsity,plausibility,unfairness
FICO,RABIT,100,0.0015,0.1,14.08148193359375,0.7256888168557536,0.7090674688440052,0.7969249915803654,0.6333063209076175,0.3169811320754717,0.28646513634281884,1.1033962264150943,0.474447687369505,0.0
FICO,RABIT,100,0.002,0.1,13.362421989440918,0.7179902755267423,0.6987012987012987,0.7944793508461733,0.7273095623987034,0.49850968703427717,0.14709857731538709,1.0633383010432191,0.471449506644335,0.0
FICO,RABIT,100,0.0025,0.1,13.133671045303345,0.7175850891410048,0.702263989747971,0.7947904826555527,0.7220421393841167,0.4767353165522502,0.1635575717712177,1.0259344012204423,0.4730952198027531,0.0
FICO,RABIT,100,0.003,0.1,12.932785272598267,0.7200162074554295,0.70406852248394,0.7921833559611012,0.7771474878444085,0.5823842065299925,0.11231247760410427,1.0478359908883828,0.470999594094884,0.0
FICO,RABIT,100,0.0035,0.1,13.007447004318237,0.7147487844408428,0.6986301369863014,0.7938140023785467,0.7807941653160454,0.5889057750759878,0.1122170028462733,1.0296352583586625,0.4730276494051535,0.0
FICO,RABIT,100,0.004,0.1,12.555373191833496,0.7216369529983793,0.7050236152855303,0.7938077534310011,0.786871961102107,0.6024187452758881,0.10832725920907409,1.0423280423280423,0.47270969747517955,0.0
FICO,RABIT,100,0.0045,0.1,12.80175518989563,0.7188006482982172,0.7031650983746792,0.7908046407973395,0.7909238249594813,0.6073059360730594,0.10825389610726058,1.0167427701674276,0.4743849886318879,0.0
FICO,RABIT,100,0.005,0.1,13.178029775619507,0.7155591572123177,0.699228791773779,0.7876377399595857,0.7893030794165316,0.6054628224582701,0.1069953855902303,1.022761760242792,0.4730378432029105,0.0
FICO,Vanilla,100,0.0,0.1,13.259951114654541,0.7423014586709886,0.7217847769028871,0.8112245569167298,0.4914910858995138,0.08125915080527087,0.3848598375707461,2.1228571428571428,0.4374939554658543,0.0
FICO,OAF,100,0.0,0.1,13.009199142456055,0.7285251215559158,0.7058823529411765,0.8007634898332913,0.5356564019448946,0.16593886462882096,0.3191806172559503,2.9050112191473447,0.4347216932576077,0.0
FICO,RABIT,100,0.0005,0.1,12.848013877868652,0.743517017828201,0.723701440419031,0.815127846888945,0.48581847649918963,0.06759735488611315,0.4110326872352628,2.153968253968254,0.4355854875734066,0.0
FICO,RABIT,100,0.001,0.1,13.171909809112549,0.7439222042139384,0.7235345581802275,0.8141609044792456,0.4914910858995138,0.08125915080527087,0.3580822221703203,1.9953125,0.4396757393859138,0.0
FICO,RABIT,100,0.0015,0.1,12.953037977218628,0.7337925445705025,0.7147199305254016,0.808559874126463,0.6478930307941653,0.3558191252779837,0.24814958338185997,1.1097108969607117,0.47076958782943235,0.0
FICO,RABIT,100,0.002,0.1,13.083436012268066,0.7378444084278768,0.718328254244667,0.808094820872274,0.7439222042139384,0.5335793357933579,0.12488549228578869,1.045018450184502,0.4635574526301977,0.0
FICO,RABIT,100,0.0025,0.1,12.91001272201538,0.7398703403565641,0.7201394943330427,0.8072791687715752,0.7759319286871961,0.5927835051546392,0.11364580138438066,1.0405007363770251,0.46506360796222745,0.0
FICO,RABIT,100,0.003,0.1,12.901019096374512,0.7354132901134521,0.7154684095860566,0.8056195798602341,0.7694489465153971,0.58069270449521,0.10643858208399115,1.0464259395725866,0.464559293500668,0.0
FICO,RABIT,100,0.0035,0.1,12.514670848846436,0.7337925445705025,0.7129750982961992,0.8034245548118213,0.7901134521880064,0.6199559794570799,0.10143052268091753,1.0293470286133528,0.4644156546849624,0.0
