dataset,method,n_estimators,epsilon,cost_budget,accuracy,f1,AUC,recourse,validity,cost
FICO,OAF,100,0.5,0.2,0.7325769854132901,0.7125435540069687,0.7899715574219079,0.6146677471636953,0.29867256637168144,0.3077254311970003
FICO,RABIT,100,0.05,0.2,0.6673419773095624,0.7223537368955022,0.7987042971710029,0.960291734197731,0.8589928057553957,0.10371593936950807
FICO,RABIT,100,0.1,0.2,0.7236628849270664,0.7447604790419161,0.7987042971710029,0.9141004862236629,0.7836734693877551,0.13408497502400954
FICO,RABIT,100,0.15,0.2,0.7321717990275527,0.7327133036797412,0.7987042971710029,0.8638573743922204,0.7150127226463104,0.16467454892680577
FICO,RABIT,100,0.2,0.2,0.7394651539708266,0.7243891984569224,0.7987042971710029,0.8225283630470016,0.6679302501895376,0.18550576495531093
FICO,RABIT,100,0.25,0.2,0.7394651539708266,0.7243891984569224,0.7987042971710029,0.8225283630470016,0.6679302501895376,0.18550576495531093
FICO,RABIT,100,0.3,0.2,0.7394651539708266,0.7243891984569224,0.7987042971710029,0.8225283630470016,0.6679302501895376,0.18550576495531093
FICO,RABIT,100,0.35,0.2,0.7394651539708266,0.7243891984569224,0.7987042971710029,0.8225283630470016,0.6679302501895376,0.18550576495531093
FICO,RABIT,100,0.4,0.2,0.7394651539708266,0.7243891984569224,0.7987042971710029,0.8225283630470016,0.6679302501895376,0.18550576495531093
FICO,RABIT,100,0.45,0.2,0.7394651539708266,0.7243891984569224,0.7987042971710029,0.8225283630470016,0.6679302501895376,0.18550576495531093
FICO,RABIT,100,0.5,0.2,0.7394651539708266,0.7243891984569224,0.7987042971710029,0.8225283630470016,0.6679302501895376,0.18550576495531093
FICO,Vanilla,100,0.05,0.2,0.5705024311183144,0.6832038254632397,0.796569130462238,0.9554294975688817,0.6405228758169934,0.16130639971163901
FICO,Vanilla,100,0.1,0.2,0.6158833063209076,0.6998100063331222,0.796569130462238,0.913290113452188,0.5668016194331984,0.21179393810014185
FICO,Vanilla,100,0.15,0.2,0.6438411669367909,0.7109503452811575,0.796569130462238,0.8691247974068071,0.4713584288052373,0.2555532362175277
FICO,Vanilla,100,0.2,0.2,0.669773095623987,0.7211768730756073,0.796569130462238,0.8261750405186385,0.411522633744856,0.27757562867786073
FICO,Vanilla,100,0.25,0.2,0.6912479740680713,0.7292110874200426,0.796569130462238,0.7820097244732577,0.35799522673031026,0.2970827515283736
FICO,Vanilla,100,0.3,0.2,0.7078606158833063,0.7310704960835509,0.796569130462238,0.7273095623987034,0.30690010298661174,0.32470202037929324
FICO,Vanilla,100,0.35,0.2,0.7240680713128039,0.7342957471712837,0.796569130462238,0.6742301458670988,0.26170798898071623,0.3411512753044298
FICO,Vanilla,100,0.4,0.2,0.7313614262560778,0.7292772560228665,0.796569130462238,0.619935170178282,0.2202826267664173,0.347277143838939
FICO,Vanilla,100,0.45,0.2,0.7305510534846029,0.7169008088548319,0.796569130462238,0.570097244732577,0.18572524942440521,0.3537891973161468
FICO,Vanilla,100,0.5,0.2,0.7293354943273906,0.7088055797733217,0.796569130462238,0.5465964343598055,0.17599410898379972,0.35648964486980217
FICO,OAF,100,0.05,0.2,0.6211507293354943,0.7013733631427659,0.7903682011450703,0.9578606158833063,0.800383877159309,0.11137804034979265
FICO,OAF,100,0.1,0.2,0.6742301458670988,0.7239010989010989,0.7903682011450703,0.9157212317666127,0.7189189189189189,0.14979634300750921
FICO,OAF,100,0.15,0.2,0.7062398703403565,0.7372236317506343,0.7903682011450703,0.8646677471636953,0.6259798432250839,0.1741197762499444
